zone,woreda,epi_year,epi_week,popul_tot,tot_case,mal_case,mal_inc,conf_inc,pfm_inc,pv_inc,mal_prop,conf_prop,pfm_prop,pv_prop,pos_rate,pfm_pos_rate,pv_pos_rate,tmpa_obs,tmpa_anom,gpm_obs,gpm_anom,lstd_obs,lstd_anom,ndvi_obs,ndvi_anom,evi_obs,evi_anom,savi_obs,savi_anom,ndwi5_obs,ndwi5_anom,ndwi6_obs,ndwi6_anom
West Gojjam,Jabi Tehnan,2016,47,218988.8793,3776,387,1.767213026,1.767213026,0.931554153,0.835658873,0.102489406,0.102489406,0.054025423,0.048463983,0.25,0.131782945,0.118217054,28.86323187,2.611599845,0,-20.81447378,32.59102381,2.654670621,0.486895516,-0.041842681,0.270483116,-0.02269799,NA,NA,-0.070337002,-0.014240428,0.050146986,-0.023880119000000002
West Gojjam,Jabi Tehnan,2016,48,218988.8793,3420,305,1.392764788,1.392764788,0.703232057,0.689532731,0.089181286,0.089181286,0.045029239,0.044152046,0.227272727,0.114754098,0.112518628,109.2781024,94.39801869,1.019726223,-13.30252997,32.88551308,1.822414951,0.457376951,-0.04648551,0.254887344,-0.020994942,NA,NA,-0.080076713,-0.01448577,NA,NA
West Gojjam,Jabi Tehnan,2016,49,218988.8793,3737,276,1.260337972,1.260337972,0.516007938,0.744330034,0.073856034,0.073856034,0.030238158,0.043617875,0.169325153,0.069325153,0.1,8.100007187,-1.013136731,0,-8.713455556,33.48776183,2.190235326,0.43550155,-0.043605756,0.243495014,-0.016783568,0.259904308,-0.017331593,-0.086594369,-0.013237358,0.009956313,-0.02112518
West Gojjam,Jabi Tehnan,2016,50,218988.8793,3867,249,1.13704404,1.13704404,0.465777077,0.671266963,0.064391,0.064391,0.026377036,0.038013964,0.221136767,0.090586145,0.130550621,41.61021325,20.00345046,0,-21.50977173,34.1668931,2.324962291,0.408851643,-0.04448252,0.229989945,-0.014902984,0.247592399,-0.014677615,-0.093492529,-0.012395901,-0.004552156,-0.015468931
West Gojjam,Jabi Tehnan,2016,51,218988.8793,3667,208,0.949819921,0.949819921,0.301385167,0.648434754,0.056722116,0.056722116,0.017998363,0.038723752,0.199616122,0.063339731,0.136276391,0.446620438,-13.10212949,0,-13.56141161,34.61497923,2.140011937,0.384243853,-0.046499999,0.218686917,-0.012827222,0.236709266,-0.012492219,-0.095303038,-0.007323316,-0.014375974,-0.006333264
West Gojjam,Jabi Tehnan,2016,52,218988.8793,3501,226,1.032015876,1.032015876,0.424679099,0.607336776,0.064552984,0.064552984,0.026563838,0.037989145,0.180223285,0.074162679,0.106060606,19.2416873,10.00081074,0,-9.043910645,35.49491064,2.705666789,0.364097765,-0.044570416,0.208360904,-0.011176384,0.226632182,-0.010751848,-0.098010454,-0.004372071,-0.027126789,-0.002768951
West Gojjam,Jabi Tehnan,2017,1,218988.8793,3331,134,0.611903218,0.611903218,0.255720748,0.35618247,0.040228159,0.040228159,0.016811768,0.023416391,0.152619589,0.063781321,0.088838268,50.47359267,27.79180802,0,-14.4907524,36.26053022,2.572217591,0.348139334,-0.036670247,0.200256146,-0.006954607,0.218552962,-0.006573366,-0.101625776,-0.002877322,-0.036742398,0.002077872
West Gojjam,Jabi Tehnan,2017,2,218988.8793,2423,95,0.433811983,0.433811983,0.178091235,0.255720748,0.039207593,0.039207593,0.016095749,0.023111844,0.126329787,0.051861702,0.074468085,18.17223136,4.737937323,0,-12.92493086,35.22396018,1.461553382,0.330005197,-0.037578086,0.191510008,-0.00666161,0.209518324,-0.006524205,-0.103074945,-7.96598e-4,-0.042700658,0.006250144
West Gojjam,Jabi Tehnan,2017,3,218988.8793,1397,64,0.292252283,0.292252283,0.086762397,0.205489887,0.045812455,0.045812455,0.013600572,0.032211882,0.120982986,0.035916824,0.085066162,1.932151756,-3.737603942,0,-5.461638031,37.20756064,2.877923936,0.315535432,-0.036483441,0.184642752,-0.005711625,0.202268803,-0.005894216,-0.103075419,0.002082295,-0.047262823,0.010155487
West Gojjam,Jabi Tehnan,2017,4,218988.8793,2137,92,0.420112657,0.420112657,0.164391909,0.255720748,0.043051006,0.043051006,0.016846045,0.02620496,0.118251928,0.046272493,0.071979434,24.9050946,14.04848868,0,-10.85711168,37.48732633,1.910257794,0.306423815,-0.030274475,0.180248016,-0.002816622,0.197734363,-0.002985187,-0.1031081,0.004319191,-0.050492473,0.014694581
