woreda,zone,epi_year,epi_week,popul_tot,popul_malar,mal_inp,mal_outp,rdt_done,rdt_pf_tot,rdt_pv_only,bf_done,bf_pf_tot,bf_pv_only
Abargelie,Waghimira,2016,35,51472.09652,51472.09652,0,28,87,19,6,76,3,0
Abargelie,Waghimira,2016,36,51472.09652,51472.09652,0,15,38,5,3,75,7,0
Abargelie,Waghimira,2016,37,51472.09652,51472.09652,0,15,38,5,3,75,7,0
Abargelie,Waghimira,2016,38,51472.09652,51472.09652,0,65,116,24,8,104,32,1
Abargelie,Waghimira,2016,39,51472.09652,51472.09652,0,51,76,17,14,96,20,0
Abargelie,Waghimira,2016,40,51472.09652,51472.09652,0,52,51,13,5,72,30,4
Abargelie,Waghimira,2016,41,51472.09652,51472.09652,0,179,190,74,28,156,77,0
Abargelie,Waghimira,2016,42,51472.09652,51472.09652,0,192,229,92,16,163,83,1
Abargelie,Waghimira,2016,43,51472.09652,51472.09652,0,203,276,124,48,105,30,1
Abargelie,Waghimira,2016,44,51472.09652,51472.09652,0,136,183,77,21,90,38,0
Abargelie,Waghimira,2016,45,51472.09652,51472.09652,0,139,151,62,18,120,57,2
Abargelie,Waghimira,2016,46,51472.09652,51472.09652,0,111,184,52,26,44,33,0
Abargelie,Waghimira,2016,47,51472.09652,51472.09652,0,92,117,43,19,116,29,1
Abargelie,Waghimira,2016,48,51472.09652,51472.09652,0,76,134,34,18,81,19,5
Abargelie,Waghimira,2016,49,51472.09652,51472.09652,0,49,37,12,6,96,29,2
Abargelie,Waghimira,2016,50,51472.09652,51472.09652,0,59,58,12,8,79,39,0
Abargelie,Waghimira,2016,51,51472.09652,51472.09652,0,102,108,51,20,75,27,4
Abargelie,Waghimira,2016,52,51472.09652,51472.09652,0,70,107,36,15,56,18,1
Mecha,West Gojjam,2014,1,295089.1431,295089.1431,0,89,241,17,36,437,14,22
Mecha,West Gojjam,2014,2,295089.1431,295089.1431,0,70,150,17,16,486,19,18
Mecha,West Gojjam,2014,3,295089.1431,295089.1431,0,78,208,14,28,443,11,25
Mecha,West Gojjam,2014,4,295089.1431,295089.1431,0,82,174,26,36,384,5,14
Mecha,West Gojjam,2014,5,295089.1431,295089.1431,0,75,201,17,23,415,15,20
Mecha,West Gojjam,2014,6,295089.1431,295089.1431,0,48,100,6,16,494,8,18
Mecha,West Gojjam,2014,7,295089.1431,295089.1431,0,35,58,4,17,196,7,7
Mecha,West Gojjam,2014,8,295089.1431,295089.1431,0,54,125,5,16,588,10,23
Mecha,West Gojjam,2014,9,295089.1431,295089.1431,0,57,150,10,30,679,2,15
Mecha,West Gojjam,2014,10,295089.1431,295089.1431,0,40,113,3,9,519,8,20
Mecha,West Gojjam,2014,11,295089.1431,295089.1431,0,35,76,6,4,462,7,18
Mecha,West Gojjam,2014,12,295089.1431,295089.1431,0,50,183,13,18,545,8,11
Mecha,West Gojjam,2014,13,295089.1431,295089.1431,0,35,109,6,14,498,0,15
Mecha,West Gojjam,2014,14,295089.1431,295089.1431,0,21,70,2,5,479,2,12
Mecha,West Gojjam,2014,15,295089.1431,295089.1431,1,27,86,1,10,437,3,14
Mecha,West Gojjam,2014,16,295089.1431,295089.1431,0,17,85,1,6,329,2,8
